Winner,FirstMove,Output
X,"(1,3)",Draw
X,"(3, 1)",Win
O,"(2, 3)",Lose
X,"(1, 1)",Win
X,"(1, 1)",Win
X,"(3, 3)",Win
O,"(2, 3)",Lose
X,"(3, 2)",Win
X,"(1, 1)",Win
X,"(1, 1)",Win
X,"(1, 3)",Win
X,"(1, 3)",Win
X,"(3, 2)",Lose
O,"(1, 3)",Lose
X,"(1, 1)",Win
X,"(3, 3)",Win
X,"(1, 1)",Win
X,"(1, 3)",Win
X,"(1, 1)",Win
X,"(3, 2)",Win
O,"(3, 3)",Lose
O,"(1, 1)",Lose
X,"(1, 3)",Win
O,"(3, 3)",Lose
X,"(2, 1)",Win
O,"(3, 3)",Lose
O,"(3, 2)",Lose
X,"(3, 2)",Win
X,"(2, 2)",Win
X,"(1, 3)",Win
